id,Parent Sector (1),Parent Sector (2),Sub Sector (1),Sub Sector (2),Sub Sector (3),name,slug,website,repository,organizations,origins,Comments,Notes,Comments
496,"Digital, Data, and Technology",Health,Platform Creation,Data Managament and Policy,Infectious Diseases,COVID-19 Incarceration Model,covid19_incarceration_model,www.recidiviz.org/covid,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ60fTTBlezKwvppNT8_wy8r4zWnx8-u6pkrwwloZ1hQwwFbobEZz7O1mOKSa2ph7YOlvMMT9oWDzAc/pub#,Recidiviz,Digital Public Goods Alliance,,,
521,"Digital, Data, and Technology",Health,Platform Creation,Data Managament and Policy,Infectious Diseases,COVID-19 Projections,covid19_projections,covid19-projections.com,https://github.com/youyanggu/covid19_projections,Youyang Gu,Digital Public Goods Alliance,,,
528,"Digital, Data, and Technology",Health,Platform Creation,Data Managament and Policy,Infectious Diseases,COVID-19 Remote Monitoring Platform,covid19_remote_monitoring_platfo,blog.lifen.fr/posts/covid-19-une-application-pour-diagnostiquer-les-patients-depuis-leur-domicile,https://github.com/lifen-labs/covid,Lifen Labs,Digital Public Goods Alliance,,,
442,"Digital, Data, and Technology",Health,Platform Creation,Data Managament and Policy,Infectious Diseases,COVID-19 Scenarios,covid19_scenarios,covid19-scenarios.org,https://github.com/neherlab/covid19_scenarios,University of Basel,Digital Public Goods Alliance,,,
451,"Digital, Data, and Technology",Health,Platform Creation,Data Managament and Policy,Infectious Diseases,COVID-19 Self Assessment Tool,covid19_self_assessment_tool,covid-19.ontario.ca/self-assessment/#q0,https://github.com/ongov/covid-19-self-assessment,Ontario Government,Digital Public Goods Alliance,,,
502,"Digital, Data, and Technology",Health,Platform Creation,Data Managament and Policy,Infectious Diseases,Covid19Canada,covid19canada,art-bd.shinyapps.io/covid19canada,https://github.com/ishaberry/Covid19Canada,COVID-19 Canada Open Data Working Group,Digital Public Goods Alliance,,,
448,"Digital, Data, and Technology",Health,Platform Creation,Data Managament and Policy,Infectious Diseases,CovidSafe,covidsafe,covidsafe.cs.washington.edu,https://github.com/covidsafe/App-Android,University of Washington,Digital Public Goods Alliance,,,
338,State and Democracy (Good Governance),"Digital, Data, and Technology",Data Management and Policy,,,Crash Model,crash_model,,https://github.com/Data4Democracy/crash-model,Data for Democracy,Digital Public Goods Alliance,,,
460,Social Development and Education,,Education and Youth,,,Curriki,curriki,www.curriki.org,,Curriki,Digital Public Goods Alliance,,,
238,"Digital, Data, and Technology",,Platform Creation,,,Démarches Simplifiées,dmarches_simplifies,demarches-simplifiees.fr,https://github.com/betagouv/demarches-simplifiees.fr,Beta.Gouv,Digital Public Goods Alliance,,,
